File	Thibault Correct	Gensim Correct	Thibault Average
results/data.transformed.no-cut.Full.txt.pretrained.1500e.10w.s50.tsv	67	43	0.05389146347422716
refined_additional_results/data.transformed.sup-cut.Full.pretrained.1500e.s80.tsv	79	59	0.07509252127498603
results_second_test_corpus/data.transformed.no-cut.Full.txt.pretrained.1500e.20w.s50.tsv	61	43	0.03502280248635689
results/data.transformed.no-cut.Full.txt.pretrained.1500e.20w.s200.tsv	50	28	0.011234953860758616
results_second_test_corpus/data.transformed.sup-cut.Full.pretrained.1500e.10w.tsv	69	47	0.04909441682087467
results/data.transformed.sup-cut.Full.pretrained.1500e.10w.s50.tsv	67	47	0.07990816047759466
results/data.transformed.com-cut.Full.1500e.10w.s50.tsv	61	7	0.06084896538084417
results_second_test_corpus/data.transformed.com-cut.Full.pretrained.1500e.20w.s50.tsv	62	33	0.036405025245281414
results/data.transformed.sup-cut.Full.pretrained.1500e.20w.tsv	53	35	0.04127936296308338
results/data.transformed.no-cut.Full.txt.1500e.10w.tsv	53	7	0.02408503147517561
results/data.transformed.sup-cut.Full.1500e.20w.s50.tsv	62	7	0.049136268240062425
results/data.transformed.com-cut.Full.1500e.10w.tsv	59	7	0.035651249252694715
results/data.transformed.com-cut.Full.pretrained.1500e.10w.s200.tsv	55	34	0.022371592681061495
results/data.transformed.no-cut.Full.txt.pretrained.1500e.20w.tsv	55	32	0.013951788669307113
refined_additional_results/data.transformed.com-cut.Full.pretrained.1500e.s80.tsv	75	47	0.06477049035588947
results/data.transformed.sup-cut.Full.1500e.10w.s50.tsv	67	7	0.07990816047759466
refined_additional_results/data.transformed.sup-cut.Full.pretrained.1500e.10w.s80.tsv	70	45	0.05668817576681321
results_second_test_corpus/data.transformed.sup-cut.Full.pretrained.1500e.20w.s200.tsv	66	42	0.03978665907459824
refined_additional_results/data.transformed.sup-cut.Full.1500e.s80.tsv	75	58	0.08512959368787015
refined_additional_results/data.transformed.half-cut.Full.1500e.10w.s80.tsv	68	39	0.04394314544563313
refined_additional_results/data.transformed.com-cut.Full.1500e.s80.tsv	67	52	0.061642096176755035
results/data.transformed.sup-cut.Full.1500e.10w.s200.tsv	57	7	0.050410806472478795
